"사망원인별(237항목)","성별","연령(5세)별",1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"디프테리아 (A36)","계","계",0.0,0.0,-,0.0,-,0.0,-,-,-,-,0.0,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"백일해 (A37)","계","계",0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,-,-,0.0,0.0
"성홍열 (A38)","계","계",0.0,0.0,-,-,0.0,0.0,0.0,-,-,-,-,-,-,-,-,-,-,0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,-,-,-,-,-,-,0.0
"패혈증 (A40-A41)","계","계",0.8,0.8,0.9,1.0,1.4,1.0,1.1,1.2,1.1,1.3,1.4,1.6,1.5,1.8,1.9,4.0,3.1,3.6,2.8,2.2,1.5,2.0,2.4,2.4,2.3,2.7,3.3,3.7,3.7,4.3,4.3,4.9,6.0,7.0,7.8,9.1,9.6,11.9,12.5,13.5,15.3,15.1
"주로 성행위로 전파되는 감염 (A50-A64)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"발진티푸스 (A75)","계","계",-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1
"일본 뇌염 (A83.0)","계","계",0.0,0.0,-,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"콩팥(신장)증후군을 동반한 유행성 출혈열 (A98.5)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"홍역 (B05)","계","계",0.9,0.7,0.5,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,0.0,0.0,-,-,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-
"바이러스 간염 (B15-B19)","계","계",0.0,0.1,0.1,0.1,0.1,0.3,0.3,0.3,0.2,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.6,0.8,1.0,1.4,1.7,1.6,1.7,1.9,2.1,2.0,2.1,2.2,2.2,1.8,1.5,1.4,1.3,1.2,1.1,1.1,1.3,1.0,1.0,0.9,0.9,1.0
"인체면역결핍바이러스병 (B20-B24)","계","계",-,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
"볼거리 (B26)","계","계",0.0,-,-,-,-,-,-,-,0.0,-,-,-,0.0,-,-,-,-,-,-,-,-,0.0,-,-,0.0,0.0,-,-,-,0.0,0.0,0.0,-,0.0,0.0,-,-,-,-,-,-,-
"말라리아 (B50-B54)","계","계",0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.0,-,-,-,0.0
"코로나19 (U07.1, U08.2, U10)","계","계",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.9,9.8,61.0,14.6,6.3
"나머지 특정 감염성 및 기생충성 질환 (Re.A00- B99)","계","계",1.2,1.0,0.4,0.2,0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.2,1.1,1.0,1.0,1.0,1.1,1.2,1.1,1.1,1.2,1.4,1.4,1.4
"악성신생물(암) (C00-C97)","계","계",72.1,72.4,76.4,78.2,79.9,84.3,88.2,91.5,90.3,101.2,105.1,109.3,110.5,110.6,113.7,109.5,115.0,122.4,123.8,130.9,131.9,133.4,134.6,134.8,138.1,139.5,140.5,144.4,142.8,146.5,149.0,150.9,150.8,153.0,153.9,154.3,158.2,160.1,161.1,162.7,166.7,174.3
"혀의 악성신생물 (C01-C02)","계","계",0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.2,0.2,0.4,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5
"나머지 입술, 구강 및 인두의 악성신생물 (Re. C00- C14)","계","계",0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,0.8,0.8,1.8,1.2,1.5,1.5,1.5,1.4,1.5,1.6,1.6,1.6,1.6,1.5,1.7,1.7,1.8,1.8,1.9,1.9,1.8,2.0,2.0,1.9,2.0,2.2,2.5
"식도의 악성신생물 (C15)","계","계",1.7,1.8,2.0,1.9,2.3,2.3,2.5,2.7,2.6,2.7,2.9,3.0,3.2,3.0,3.3,3.0,3.0,3.2,3.0,3.2,3.1,3.1,2.9,3.0,3.0,2.8,2.8,2.7,3.0,2.8,2.9,3.0,3.0,3.0,2.8,2.8,3.0,3.0,3.1,3.2,3.2,3.4
"위의 악성신생물 (C16)","계","계",30.4,29.2,29.1,28.0,27.7,26.7,26.6,26.2,25.3,28.0,27.9,28.1,26.5,25.6,25.7,23.9,24.1,24.4,24.1,24.5,24.4,23.2,22.6,22.1,21.6,20.9,20.4,20.1,19.4,18.6,18.2,17.6,16.7,16.2,15.7,15.1,14.9,14.6,14.1,13.9,14.1,14.1
"소장의 악성신생물 (C17)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.7
"결장의 악성신생물 (C18)","계","계",0.9,0.9,1.1,1.1,1.3,1.3,1.6,1.8,2.0,2.0,2.6,2.9,3.2,3.5,4.1,4.1,4.6,5.2,5.8,5.9,6.2,6.8,7.4,7.4,7.9,8.1,8.4,9.0,9.1,9.6,9.6,9.8,9.8,9.9,10.1,10.4,10.5,10.6,10.5,11.1,11.2,11.6
"직장구불결장 이행부, 직장, 항문 및 항문관의 악성신생물 (C19-C21)","계","계",0.8,0.9,1.2,1.2,1.3,1.3,1.8,1.9,1.8,2.2,2.4,2.6,2.6,2.8,2.8,2.9,3.3,3.7,3.8,4.8,5.2,5.4,5.1,5.5,5.7,5.8,5.9,6.5,6.3,6.7,6.8,6.8,6.7,6.6,7.0,6.8,6.9,6.9,7.0,6.8,7.1,7.4
"간내 담관의 암종 (C22.1)","계","계",0.0,0.0,-,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.1,0.2,0.3,0.4,0.8,1.0,1.2,1.5,3.0,3.0,3.0,3.2,3.5,4.0,4.3,4.0,4.7,4.8,5.1,5.1,5.2,5.2,5.0,4.7,4.7,5.0,5.0,4.7,4.9,5.0,5.3
"나머지 간 및 간내 담관의 악성신생물 (C22.0, C22.2-C22.9)","계","계",16.0,16.2,16.7,17.7,18.2,18.9,19.9,19.8,20.2,21.6,21.7,22.2,21.7,21.2,20.9,19.3,19.7,20.1,19.8,20.1,19.7,19.5,19.3,18.9,18.7,18.6,18.6,17.7,17.0,17.4,17.5,17.6,17.0,16.5,16.2,15.9,15.7,15.5,15.2,15.0,14.8,15.2
"담낭 및 상세불명 담도 부위의 악성신생물 (C23-C24)","계","계",0.5,0.6,0.8,1.0,1.0,1.4,1.7,1.9,2.3,2.6,3.1,3.4,3.8,4.5,4.8,4.5,5.2,5.6,6.5,6.0,6.2,6.6,6.9,7.0,7.0,7.0,7.3,7.0,7.4,7.3,7.5,7.7,8.3,8.6,9.2,9.5,9.7,10.1,10.3,10.2,10.8,11.1
"췌장의 악성신생물 (C25)","계","계",1.0,1.2,1.6,1.8,1.8,2.3,2.5,2.7,2.9,3.5,3.8,4.2,4.3,4.4,5.0,4.8,5.4,5.8,6.0,6.0,6.2,6.3,7.0,7.1,7.3,7.6,8.2,8.6,8.7,9.5,9.6,10.1,10.7,11.0,11.3,11.8,12.5,13.2,13.5,14.3,15.0,16.0
"기타 및 부위불명 소화기의 악성신생물 (C26)","계","계",0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.9,0.8,0.9,0.7,0.7,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.5,0.7,0.6,0.5,0.5,0.7,0.9,0.8,1.0,0.4,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.1
"후두의 악성신생물 (C32)","계","계",0.9,1.0,1.1,1.2,1.2,1.4,1.3,1.3,1.3,1.5,1.7,1.8,2.0,1.7,1.7,1.6,1.6,1.6,1.6,1.5,1.4,1.3,1.3,1.1,1.0,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.7,0.6,0.6,0.6,0.7,0.6,0.6,0.7
"기관지 및 폐의 악성신생물 (C34)","계","계",5.9,6.0,7.3,8.1,8.8,10.0,11.1,12.0,13.0,15.5,16.5,18.2,18.8,19.5,20.9,20.7,22.1,24.4,25.1,26.2,26.3,27.4,28.4,28.8,29.2,29.9,30.0,31.3,31.6,33.1,34.0,34.3,34.1,35.1,35.1,34.8,36.2,36.3,36.8,36.2,36.4,38.0
"나머지 호흡기 및 가슴내 장기의 악성신생물 (Re.C30- C39)","계","계",0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.7,0.6,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.8,0.8,0.9,0.8,0.8,0.8,0.8
"뼈 및 관절연골의 악성신생물 (C40-C41)","계","계",0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4
"흑색종 및 기타 피부의 악성신생물 (C43-C44)","계","계",0.4,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.5,0.6,0.5,0.6,0.7,0.8,0.7,0.7,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.3
"중피성 및 연조직의 악성신생물 (C45-C49)","계","계",0.3,0.3,0.2,0.3,0.3,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.6,0.5,0.4,0.4,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.7,1.9,1.9
"유방의 악성신생물 (C50)","계","계",1.0,1.1,1.1,1.2,1.1,1.2,1.4,1.4,1.5,1.7,1.9,1.9,2.0,2.2,2.2,2.2,2.4,2.5,2.6,2.9,3.0,3.1,3.3,3.3,3.4,3.5,3.8,3.7,4.0,4.0,4.4,4.5,4.6,4.8,4.9,4.8,5.1,5.3,5.3,5.6,5.6,5.8
"자궁경부의 악성신생물 (C53)","계","계",0.3,0.4,0.4,0.5,0.5,0.6,0.8,0.8,0.8,1.0,0.9,1.2,1.2,1.5,1.5,1.3,1.5,1.5,1.7,2.1,2.3,2.2,2.2,2.1,2.0,1.9,1.9,1.9,2.0,1.8,1.8,1.9,1.9,1.8,1.7,1.6,1.7,1.6,1.7,1.5,1.6,1.7
"기타 및 상세불명 자궁부분의 악성신생물 (C54-C55)","계","계",3.2,3.1,2.8,2.8,2.5,2.5,2.5,2.3,2.1,2.2,2.1,2.1,1.9,1.6,1.6,1.5,1.4,1.2,1.2,0.8,0.6,0.5,0.6,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.2
"난소의 악성신생물 (C56)","계","계",0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,1.0,1.0,1.2,1.3,1.3,1.3,1.4,1.6,1.5,1.7,1.7,1.7,1.8,1.8,1.8,2.1,2.0,2.1,2.4,2.2,2.4,2.4,2.7,2.7,2.6,2.7,2.9
"나머지 여성 생식기관의 악성신생물 (Re. C51- C58)","계","계",0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.3,0.3,0.3
"전립선의 악성신생물 (C61)","계","계",0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.4,0.4,0.4,0.6,0.7,0.7,0.8,0.9,1.2,1.3,1.5,1.6,1.9,1.9,2.1,2.3,2.4,2.5,2.7,2.8,2.9,3.2,3.3,3.3,3.4,3.6,3.9,4.0,4.3,4.6,4.6,5.1,5.6
"나머지 남성 생식기관의 악성신생물 (Re. C60- C63)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"콩팥깔때기를 제외한 콩팥(신장)의 악성신생물 (C64)","계","계",0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.5,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.1,1.1,1.1,1.2,1.3,1.2,1.4,1.4,1.5,1.3,1.5,1.6,1.7,1.8,1.9,1.9,1.9,2.0,2.0,1.9,1.9,2.1,2.0,2.0,2.1,2.3
"방광의 악성신생물 (C67)","계","계",0.4,0.4,0.6,0.6,0.6,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.2,1.3,1.2,1.2,1.3,1.6,1.7,1.9,2.0,1.8,1.9,1.9,1.9,2.0,1.9,2.2,2.3,2.4,2.5,2.7,2.5,2.7,2.8,2.7,3.0,3.1,3.0,3.1,3.3,3.7
"나머지 요로의 악성신생물 (Re. C64- C68)","계","계",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.2,1.3,1.3,1.5,1.5,1.7
"뇌의 악성신생물 (C71)","계","계",0.5,0.5,0.5,0.7,0.8,2.1,2.2,1.1,1.3,2.1,2.7,2.2,2.0,1.6,1.7,1.8,1.8,2.0,1.9,2.2,2.3,2.2,2.3,2.2,2.2,2.0,2.0,2.3,2.3,2.3,2.2,2.4,2.4,2.5,2.4,2.5,2.6,2.7,2.6,2.7,2.9,3.0
"나머지 눈, 뇌 및 중추신경계통의 기타부위의 악성신생물 (Re. C69- C72)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2
"갑상선의 악성신생물 (C73)","계","계",0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.3,0.3,0.4,0.4,0.4,0.4,0.6,0.5,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.7,0.7,0.8,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.8
"기타 내분비선의 악성신생물 (C74-C75)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2
"불명확한 속발성 및 상세불명 부위의 악성신생물 (C76-C80)","계","계",2.4,2.4,2.6,2.4,2.8,4.7,3.9,5.5,2.6,2.3,1.9,2.0,2.0,1.9,2.3,3.3,2.8,1.6,1.6,2.2,1.9,2.0,1.7,1.7,2.0,2.0,1.8,1.9,2.1,1.9,2.2,2.1,2.0,2.1,2.4,2.4,2.2,2.0,2.2,2.2,1.9,2.3
"비호지킨 림프종 (C82-C86)","계","계",0.5,0.6,0.7,0.7,0.5,0.0,0.0,0.5,1.0,1.2,1.2,1.6,1.6,1.6,1.5,1.1,1.8,1.8,1.7,2.0,2.1,2.5,2.5,2.4,2.6,2.6,2.6,2.9,2.8,3.0,3.2,3.1,3.4,3.5,3.7,4.0,3.9,4.0,4.0,4.4,4.5,4.6
"다발성 골수종 및 악성 형질세포 신생물 (C90)","계","계",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.9,1.0,1.0,1.1,1.1,1.3,1.2,1.4,1.5,1.3,1.6,1.6,1.7,1.7,2.0,1.9,1.9,1.9,1.9,2.0,2.1,2.2,2.3
"백혈병 (C91-C95)","계","계",2.3,2.4,2.7,2.6,2.5,2.5,2.7,2.7,2.8,3.1,3.2,3.1,2.9,3.0,3.0,2.6,2.9,2.9,3.0,3.0,3.0,3.1,3.0,2.9,3.0,3.1,3.1,3.2,3.1,3.3,3.2,3.3,3.4,3.6,3.6,3.6,3.7,3.6,4.0,4.0,4.2,4.3
"나머지 림프, 조혈 및 관련 조직의 악성신생물 (Re. C81- C96)","계","계",0.3,0.5,0.5,0.6,0.6,0.6,0.7,0.8,0.6,0.8,0.7,0.8,0.8,0.7,0.6,0.6,0.4,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3
"독립된(원발성) 다발성 부위의 악성신생물 (C97)","계","계",-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.7,0.7,0.5,0.2,0.4,0.5,0.4,0.4,0.5,0.6,0.4,0.5,0.9,1.4,1.2,1.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"뇌 및 중추신경계통의 행동양식 불명 또는 미상의 신생물 (D43)","계","계",0.8,0.9,1.3,1.3,1.2,0.0,0.0,0.0,1.3,0.8,0.2,0.8,0.9,1.1,1.2,0.9,1.0,0.9,0.9,0.3,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3
"나머지 상피내,양성,행동양식 불명 또는 미상의 신생물 (Re. D00- D48)","계","계",0.7,0.7,0.9,1.0,0.9,0.0,0.0,0.2,1.2,0.5,0.2,0.3,0.5,0.7,0.8,0.7,0.9,1.1,1.1,0.9,0.9,1.1,1.1,1.3,1.3,1.5,1.6,1.9,1.8,2.1,2.2,2.2,2.4,2.6,2.5,2.8,2.9,2.8,2.9,3.0,3.3,3.7
"무형성 빈혈 (D60,D61)","계","계",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.3,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,0.4,0.4
"기타 빈혈 (D50-D59, D62-D64)","계","계",0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.2,0.4,0.3,0.4,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.4,0.5,0.6,0.6,0.7,0.6,0.8,0.7,0.7,0.7,0.8
"나머지 혈액 및 조혈기관의 질환과 면역기전의 특정 장애 (Re. D50- D89)","계","계",0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.6
"갑상선의 장애 (E00-E07)","계","계",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2
"당뇨병 (E10-E14)","계","계",4.5,5.5,6.1,6.5,6.6,6.3,7.9,9.9,10.7,12.4,15.6,16.5,17.3,17.5,18.9,21.2,22.0,22.7,23.9,25.2,25.2,24.4,24.3,23.8,23.1,20.7,19.6,20.7,21.5,23.0,21.5,20.7,20.7,19.2,17.9,17.1,15.8,16.5,17.5,21.8,21.6,21.7
"영양실조 및 기타 영양결핍증 (E40-E64)","계","계",1.0,0.9,0.8,0.8,0.7,0.4,0.5,0.9,0.6,0.4,0.4,0.4,0.6,0.4,0.5,1.0,0.7,0.8,0.6,0.4,0.4,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.4,0.7,0.5,0.6,0.6,0.5
